state,x,y
Andaman and Nicobar,148.0, -204.0
Andhra Pradesh,-45.0, -147.0
Arunachal Pradesh,210.0, 145.0
Assam,184.0, 103.0
Bihar,47.0, 87.0
Chandigarh,-110.0, 170.0
Chhattisgarh,-10.0, -1.0
Daman and Diu,-184.0, -31.0
Delhi,-99.0, 139.0
Goa,-160.0, -132.0
Gujarat,-201.0, 26.0
Haryana,-124.0, 154.0
Himachal Pradesh,-74.0, 208.0
Jammu and Kashmir,-151.0, 239.0
Jharkhand,56.0, 44.0
Karnataka,-119.0, -176.0
Kerala,-122.0, -213.0
Ladakh,-131.0, 287.0
Lakshadweep,-198.0, -266.0
Madhya Pradesh,-71.0, 21.0
Maharashtra,-157.0, -68.0
Manipur,211.0, 71.0
Meghalaya,146.0, 83.0
Mizoram,193.0, 41.0
Nagaland,222.0, 96.0
Odisha,29.0, -21.0
Puducherry,-50.0, -201.0
Punjab,-146.0, 180.0
Rajasthan,-204.0, 95.0
Sikkim,108.0, 123.0
Tamil Nadu,-82.0, -225.0
Telangana,-76.0, -82.0
Tripura,172.0, 48.0
Uttar Pradesh,-21.0, 97.0
Uttarakhand,-43.0, 172.0
West Bengal,98.0, 31.0
